country,channel,code
be,ES2 F,ElevenSports2F.be
be,ES1 N,ElevenSports1N.be
be,VOOsport World 3,VOOsportWorld3.be
be,Be Séries,BeSeries.be
be,Actua TV,Actua.be
be,AB 3,AB3.be
be,Play More Relax,PlayMoreRelax.be
be,Play Sports HD7,PlaySportsHD7.be
be,AVS Gent,AVSGent.be
be,Play More Series,PlayMoreSeries.be
be,Comedy Central,ComedyCentral.be
be,Canvas,Canvas.be
be,VOOsport 2,VOOsport2.be
be,VOOsport World 2,VOOsportWorld2.be
be,Play More Select,PlayMoreSelect.be
be,FOX,FOX.be
be,Nickelodeon Toons TV,NickToons.be
be,Play time,Playtime.be
be,2be,Q2.be
be,Animal Planet,AnimalPlanet.be
be,VTM,Vtm.be
be,VOOsport 4,VOOsport4.be
be,TLC,TLC.be
be,NickSpike VL,NickSpike.be
be,VTM KZoom,VTMKZoom.be
be,Play Sports HD2,PlaySportsHD2.be
be,La Deux,LaDeux.be
be,MENT TV,MENT.be
be,VOOsport World 1,VOOsportWorld1.be
be,Discovery Science,DiscoveryScience.be
be,Play Sports Golf,PlaySportsGolf.be
be,Vier,Vier.be
be,Stories,Stories.be
be,Be1 +1,Be1Plus1.be
be,PlattelandsTv,PlattelandsTv.be
be,Studio 100 TV,Studio100TV.be
be,Play Sports HD4,PlaySportsHD4.be
be,Play Sports HD5,PlaySportsHD5.be
be,PureVision,PureVision.be
be,Eclips,Eclips.be
be,Nickelodeon Junior BE(nl),NickJr.be
be,BE 1,Be1.be
be,NGC wild,NGCWild.be
be,Een,een.be
be,Play More Kicks,PlayMoreKicks.be
be,Antenne Centre,AntenneCentre.be
be,La Trois,LaTrois.be
be,Mezzo,Mezzo.be
be,RTL-TVI,RTLTVI.be
be,History,HistoryHD.be
be,Play Sports HD8,PlaySportsHD8.be
be,Play More Black,PlayMoreBlack.be
be,La Une,LaUne.be
be,Vitaya,Vitaya.be
be,VOOsport 3,VOOsport3.be
be,Xite,Xite.be
be,Eurosport 1,Eurosport1.be
be,MTV,MTV.be
be,ES2 N,ElevenSports2N.be
be,ES3 F,ElevenSports3F.be
be,CAZ,CAZ.be
be,Njam!,Njam.be
be,Evenaar,EveNaar.be
be,Rob TV,RobTV.be
be,Focus TV,FocusTV.be
be,VOOsport 5,VOOsport5.be
be,Q-music,Q-music.be
be,Viceland,Viceland.be
ca,Cable Pulse 24 (CP24),CablePulse24.ca
ca,AMC Canada HD,AMC.ca
ca,National Geographic Wild Canada HD,NatGeoWild.ca
ca,CBC News Network HD,CBCNews.ca
ca,MLB Extra Innings HD 3,MLBExtraInnings3.ca
ca,Global Toronto HD,Global.ca
ca,Cooking Channel HD,CookingChannel.ca
ca,PBS,PBS.ca
ca,CBS Sports Network HD,CBSSportsNetwork.ca
ca,NBA League Pass HD 3,NBALeaguePass3.ca
ca,CHCH,CHCH.ca
ca,BBC Canada,BBCCanada.ca
ca,NHL Centre Ice 9,NHLCentreIce9.ca
ca,Country Music Television (CMT),CountryMusic.ca
ca,W Network HD,WNetwork.ca
ca,NFL Sunday Ticket 5,NFL SundayTicket5.ca
ca,FX HD,FX.ca
ca,MLB Extra Innings HD 9,MLBExtraInnings9.ca
ca,The Sports Network 4 HD,TSN4.ca
ca,Black Entertainment Canada,BET.ca
ca,Crime Plus Investigation HD,CrimeInvestigation.ca
ca,NBA League Pass HD 2,NBALeaguePass2.ca
ca,Silver Screen Classics,SilverScreenClassics.ca
ca,Disney XD HD Canada,DisneyXD.ca
ca,TFO HD,TFO.ca
ca,ABC Spark HD,ABCSpark.ca
ca,MLB Extra Innings HD 14,MLBExtraInnings14.ca
ca,NBA League Pass HD 8,NBALeaguePass8.ca
ca,NBA League Pass HD 9,NBALeaguePass9.ca
ca,CTV Calgary,CTVCalgary.ca
ca,Discovery Science Canada,DiscoveryScience.ca
ca,DTour HD,DTOUR.ca
ca,The Movie Network 3 HD,TMN3.ca
ca,ABC,ABC.ca
ca,National Geographic Canada HD,NationalGeographic.ca
ca,MLB Extra Innings HD 4,MLBExtraInnings4.ca
ca,MLB Extra Innings HD 10,MLBExtraInnings10.ca
ca,The Movie Network,TMN.ca
ca,TSN 5 Blackout,TSN5.ca
ca,NHL Centre Ice 4,NHLCentreIce4.ca
ca,NFL Sunday Ticket 10,NFL SundayTicket10.ca
ca,Sportsnet West HD,SportsnetWest.ca
ca,E! Entertainment Television Canada,EEntertainment.ca
ca,Disney Channel Canada HD,Disney.ca
ca,The Movie Network 4 HD,TMN4.ca
ca,COMDCPH (Comedy Canada HD) (Pacific),Comedy.ca
ca,A.Side HD,ASide.ca
ca,BBC World News (North America) HD,BBCWorldNews.ca
ca,The Sports Network 2,TSN2.ca
ca,NFL Sunday Ticket 2,NFL SundayTicket2.ca
ca,Oprah Winfrey Network Canada HD,OWN.ca
ca,NFL Sunday Ticket 1,NFL SundayTicket1.ca
ca,NFL Network ALT - Canadian Feed HD,NFL.ca
ca,MLB Extra Innings HD 8,MLBExtraInnings8.ca
ca,MLB Extra Innings HD 11,MLBExtraInnings11.ca
ca,Sportsnet One HD,SportsnetOne.ca
ca,YTV HD,YTV.ca
ca,HBO Canada West HD,HBOWest.ca
ca,Smithsonian Channel,SmithsonianChannel.ca
ca,H2 Canada HD,H2Canada.ca
ca,The Weather Network Canada HD,TheWeatherNetwork.ca
ca,FXX Canada,FXX.ca
ca,Teletoon HD,Teletoon.ca
ca,Sportsnet World HD,SportsNetWorld.ca
ca,NBA League Pass HD 1,NBALeaguePass1.ca
ca,Book Television,BookTelevision.ca
ca,MovieTime HD,MovieTime.ca
ca,NBA TV Canada HD,NBA.ca
ca,Space: The Imagination Station HD,Space.ca
ca,Bravo Canada,Bravo.ca
ca,BBC Kids,BBCKids.ca
ca,ICI RDI HD,ICIRDI.ca
ca,MLB Extra Innings HD 7,MLBExtraInnings7.ca
ca,Sportsnet (Pacific) HD,SportsnetPacific.ca
ca,OMNI Vancouver,OmniVancouver.ca
ca,SLICE,SliceTV.ca
ca,The Movie Network 2 HD,TMN2.ca
ca,NBA League Pass HD 10,NBALeaguePass10.ca
ca,Global BC HD,GlobalBC.ca
ca,Gusto HD,Gusto.ca
ca,MLB Extra Innings HD 13,MLBExtraInnings13.ca
ca,MLB Extra Innings HD 5,MLBExtraInnings5.ca
ca,Family CHRGD HD East,CHRGD.ca
ca,NHL Centre Ice 8,NHLCentreIce8.ca
ca,NFL Sunday Ticket 3,NFL SundayTicket3.ca
ca,CBC,CBC.ca
ca,CTV Vancouver,CTVVancouver.ca
ca,Historia HD,Historia.ca
ca,NHL Centre Ice 5,NHLCentreIce5.ca
ca,NFL Sunday Ticket 9,NFL SundayTicket9.ca
ca,Home and Garden Canada HD,HGTV.ca
ca,CTV Two - Toronto,CTV2Toronto.ca
ca,MLB Extra Innings HD 6,MLBExtraInnings6.ca
ca,CITY Toronto HD,CITYToronto.ca
ca,TMN Encore 1 HD,TMNEncore.ca
ca,Animal Planet Canada HD (CTV),AnimalPlanet.ca
ca,TSN 3 Blackout,TSN3.ca
ca,Investigation Discovery HD (Canada),InvestigationDiscovery.ca
ca,NHL Centre Ice 1,NHLCentreIce1.ca
ca,MLB Extra Innings HD 2,MLBExtraInnings2.ca
ca,Leafs TV HD,LeafsTV.ca
ca,IFC Canada,IFC.ca
ca,OMNI East HD,OmniEast.ca
ca,Spike TV - Canadian Feed,SpikeTV.ca
ca,History,History.ca
ca,World Fishing Network HD (Canada),WorldFishingNetwork.ca
ca,Cartoon Network Canada,CartoonNetwork.ca
ca,NHL Centre Ice 12,NHLCentreIce12.ca
ca,NHL Centre Ice 10,NHLCentreIce10.ca
ca,Love Nature,LoveNature.ca
ca,TVA (Pacific),TVA.ca
ca,Lifetime HD (Canada),Lifetime.ca
ca,Canal D,CanalD.ca
ca,Deja View,DejaView.ca
ca,HBO Canada 1 HD,HBO.ca
ca,Sportsnet East HD,SportsnetEast.ca
ca,Comedy Gold,ComedyGold.ca
ca,Treehouse HD,TreehouseTV.ca
ca,NHL Centre Ice 11,NHLCentreIce11.ca
ca,NBA League Pass HD 7,NBALeaguePass7.ca
ca,TMN Encore onDemand,TMNEncoreOnDemand.ca
ca,HIFI Canada,HIFI.ca
ca,CTV Two - Vancouver/Victoria,CTV2Vancouver.ca
ca,Cottage Life,CottageLife.ca
ca,Superchannel 1,Superchannel1.ca
ca,Family Channel HD,FamilyChannel.ca
ca,NFL Sunday Ticket 8,NFL SundayTicket8.ca
ca,NFL Sunday Ticket 7,NFL SundayTicket7.ca
ca,CTV Two - Atlantic,CTV2Atlantic.ca
ca,Sportsnet 360 HD,Sportsnet360.ca
ca,NBA League Pass HD 5,NBALeaguePass5.ca
ca,NBC HD,NBC.ca
ca,TMN Encore 2 HD,TMNEncore2.ca
ca,NHL Centre Ice 7,NHLCentreIce7.ca
ca,The Learning Channel HD Canada,TLC.ca
ca,WWE Network HD,WWE.ca
ca,Disney Junior HD Canada,DisneyJr.ca
ca,YesTV HD,YesTv.ca
ca,MLB Extra Innings HD 1,MLBExtraInnings1.ca
ca,NHL Centre Ice 2,NHLCentreIce2.ca
ca,Showcase Action HD,Action.ca
ca,TV Ontario (CICA),TVOntario.ca
ca,American Heroes Channel - Canada,AmericanHeroes.ca
ca,CBC Toronto,CBCToronto.ca
ca,documentary HD,documentary.ca
ca,Food Network Canada HD,FoodNetwork.ca
ca,CTV News Channel HD,CTVNews.ca
ca,The Fight Network HD,TheFightNetwork.ca
ca,NBA League Pass HD 6,NBALeaguePass6.ca
ca,FOX HD,FOX.ca
ca,Business News Network HD,BusinessNewsNetwork.ca
ca,Fantasy Sports Canada HD,FNTSYSports.ca
ca,CBS,CBS.ca
ca,Cable News Network,CNN.ca
ca,NFL Sunday Ticket 4,NFL SundayTicket4.ca
ca,The Comedy Network Canada,ComedyNetwork.ca
ca,Sportsnet Ontario HD,SportsnetOntario.ca
ca,NFL Sunday Ticket 6,NFL SundayTicket6.ca
ca,Discovery Canada,DiscoveryChannel.ca
ca,Showcase Canada HD,Showcase.ca
ca,NBA League Pass HD 4,NBALeaguePass4.ca
ca,CTV Toronto,CTVToronto.ca
ca,HBO on Demand,HBOOnDemand.ca
ca,Superchannel 2 HD,Superchannel2.ca
ca,NHL Centre Ice 3,NHLCentreIce3.ca
ca,MLB Extra Innings HD 12,MLBExtraInnings12.ca
ca,Golf Channel HD,GolfChannel.ca
ca,NHL Centre Ice 6,NHLCentreIce6.ca
ca,Outdoor Life Network Canada HD,OLN.ca
ca,The Sports Network 1,TSN.ca
ca,FYI HD Canada,FYI.ca
ca,DIY Network Canada HD,DIYNetwork.ca
ca,beIN Sports HD (Canada),beINSportsCanada.ca
ca,Peachtree TV,PeachtreeTV.ca
ca,A&E Canada HD,AandE.ca
ca,Discovery Velocity,DiscoveryVelocity.ca
ca,Nickelodeon HD Canada,Nickelodeon.ca
ch,TC Sky Sport 2 HD,TCSport2.ch
ch,MySports 1 F,MySports1F.ch
ch,MySports 2/Sky 2,MySports2.ch
ch,Tele M1 HD,TeleM1.ch
ch,MySports 9/Sky 9,MySports9.ch
ch,TVO HD,TVO.ch
ch,Tele D HD,TeleD.ch
ch,TV24 HD,TV24.ch
ch,W9 HD,W9.ch
ch,RSI LA 1 HD,RSILa1.ch
ch,Tele 5,Tele5.ch
ch,MySports 3/Sky 3,MySports3.ch
ch,TC Cinema HD,TCCinema.ch
ch,S1 HD,S1.ch
ch,MTV HD,MTV.ch
ch,MySports 6/Sky 6,MySports6.ch
ch,TeleTicino HD,TeleTecino.ch
ch,3+ HD,3plus.ch
ch,Puls 8 HD,Puls8.ch
ch,TC Star HD,TCStar.ch
ch,SWISS 1,Swiss1.ch
ch,SFR Sport 2 HD,SFRSport2.ch
ch,MySports 8/Sky 8,MySports8.ch
ch,ProSieben HD,Pro7.ch
ch,SFR Sport 1 HD,SFRSport1.ch
ch,DMAX HD,DMAX.ch
ch,MySports 7/Sky 7,MySports7.ch
ch,RTL 9 HD,RTL9.ch
ch,TC Zoom HD,TCZoom.ch
ch,SRF 1 HD,SRF1.ch
ch,TeleBielingue HD,TeleBielingue.ch
ch,Tele Bärn HD,TeleBern.ch
ch,TC Sport 1 HD,TCSport1.ch
ch,TC Prime HD,TCPrime.ch
ch,MySports 1,MySports1.ch
ch,Tele Z HD,TeleZ.ch
ch,MySports HD D,MySportsHD.ch
ch,MySports 4/Sky 4,MySports4.ch
ch,SFR Sport 5 HD,SFRSport5.ch
ch,RSI LA 2 HD,RSILa2.ch
ch,SAT.1 HD,Sat1.ch
ch,TeleZüri HD,TeleZuri.ch
ch,MySports 5/Sky 5,MySports5.ch
ch,4+ HD,4plus.ch
ch,RTS Deux HD,RTSDeux.ch
ch,TV25 HD,TV25.ch
ch,SRF zwei HD,SRF2.ch
ch,SCHWEIZ5,Schweiz5.ch
ch,Comedy HD/VIVA HD,ComedyVIVA.ch
ch,5+ HD,5plus.ch
ch,MySports Ticket,MySportsTicket.ch
ch,SFR Sport 3 HD,SFRSport3.ch
ch,Telebasel HD,TeleBasel.ch
ch,Tele 1 HD,Tele1.ch
ch,RTS Un HD,RTSUn.ch
ch,SRF info HD,SRFinfo.ch
ch,Tele Top HD,TeleTop.ch
cz,HOROR FILM,HORORFILM.cz
cz,regionalnitelevize.cz,regionalnitelevize.cz
cz,Doku CS,DokuCS.cz
cz,AXN White,AXNCrime.cz
cz,Prima LOVE,PrimaLOVE.cz
cz,Cinemax 2,Cinemax2.cz
cz,Nova International,NovaInternational.cz
cz,TUTY,TUTY.cz
cz,Viasat History,ViasatHistory.cz
cz,Eurosport1 - Česko,Eurosport1.cz
cz,SEZNAM TV,Seznam.cz
cz,Minimax,Minimax.cz
cz,CS Film,CSFilm.cz
cz,VIVA,VIVA.cz
cz,Spektrum Home,SpektrumHome.cz
cz,TV Paprika,TVPaprika.cz
cz,Prima Cool,PrimaCool.cz
cz,DOQ,DOQ.cz
cz,Cinemax,Cinemax.cz
cz,MTV Europe,MTVEurope.cz
cz,Óčko,Ocko.cz
cz,ID Xtra,IDXtra.cz
cz,Film Europe,FilmEurope.cz
cz,360TuneBox,360TuneBox.cz
cz,Zone Reality,ZoneReality.cz
cz,Up Network,UPNetwork.cz
cz,Šlágr TV,SlagrTV.cz
cz,Relax,Relax.cz
cz,NOVA 2,Nova2.cz
cz,Nova TV,NovaTV.cz
cz,Discovery Channel,DiscoveryChannel.cz
cz,Nova Sport,NovaSport.cz
cz,SENZI TV,Senzi.cz
cz,Arena Sport 2,ArenaSport2.cz
cz,AXN,AXN.cz
cz,Československo,Ceskoslovensko.cz
cz,ÓČKO GOLD,OckoGold.cz
cz,Prima MAX,PrimaMAX.cz
cz,HBO Comedy,HBOComedy.cz
cz,CT sport,CTsport.cz
cz,PRIMA KRIMI,PrimaKrimi.cz
cz,Sport 5,Sport5.cz
cz,Viasat Nature,ViasatNature.cz
cz,Extreme Sports,ExtremeSports.cz
cz,TLC,TLC.cz
cz,Ginx,Ginx.cz
cz,Disney Channel,DisneyChannel.cz
cz,Lux,Lux.cz
cz,Film +,FilmPlus.cz
cz,MGM,MGM.cz
cz,Sport2,Sport2.cz
cz,Filmbox Premium,FilmboxPremium.cz
cz,JimJam,JimJam.cz
cz,Viasat History HD,ViasatHistoryHD.cz
cz,Eurosport2 - Česko,Eurosport2.cz
cz,EPIC DRAMA,EpicDrama.cz
cz,HBO,HBO.cz
cz,Kino Svet,KinoSvet.cz
cz,Nova Cinema,NovaCinema.cz
cz,Kino Barrandov,KinoBarrandov.cz
cz,ČT :D / ČT art,CTart.cz
cz,Discovery Science,DiscoveryScience.cz
cz,Nova TV`+1,NovaTVplus1.cz
cz,Viasat Explorer,ViasatExplorer.cz
cz,Nova Sport 2,NovaSport2.cz
cz,NAUTICAL CHANNEL,NauticalChannel.cz
cz,CT1,CT1.cz
cz,Crime and Investigation,CrimeInvestigation.cz
cz,DTX,DTX.cz
cz,Ťuki,Tuki.cz
cz,WAR svět válek,WARsvetvalek.cz
cz,MŇAM,MnamTV.cz
cz,NOVA ACTION,NovaAction.cz
cz,FashionBox HD,FashionBox.cz
cz,Brnenská TV,BrnenskaTV.cz
cz,Filmbox Extra,FilmboxExtra.cz
cz,Československo / Festival,Festival.cz
cz,Nova Sport 1,NovaSport1.cz
cz,TV Barrandov,TVBarrandov.cz
cz,E! Entertainment,E.cz
cz,Duck TV,DuckTV.cz
cz,Nat Geo Wild,NationalGeographicWild.cz
cz,Filmbox Plus,FilmboxPlus.cz
cz,Prima +1,Primaplus1.cz
cz,HBO2,HBO2.cz
cz,TV Noe,TVNoe.cz
cz,Retro Music Television,RetroMusic.cz
cz,Cartoon Network,CartoonNetwork.cz
cz,CT2,CT2.cz
cz,NICKELODEON Junior,NickJr.cz
cz,MTV Dance,MTVDance.cz
cz,Golf Channel,GolfChannel.cz
cz,Z1,Z1.cz
cz,Nickelodeon,Nickelodeon.cz
cz,MŇAU TV,MnauTV.cz
cz,POWER TV,PowerTV.cz
cz,ČT24,CT24.cz
cz,AXN Black,AXNScifi.cz
cz,Prima TV,PrimaTV.cz
cz,History Channel,HistoryChannel.cz
cz,National Geographic Channel,NationalGeographic.cz
cz,Barrandov Plus,BarrandovPlus.cz
cz,Animal Planet,AnimalPlanet.cz
cz,Fishing and Hunting,FishingandHunting.cz
cz,Prima Comedy Central,PrimaComedyCentral.cz
cz,Fightbox HD,Fightbox.cz
cz,Rebel,Rebel.cz
cz,Slušnej Kanál TV - Rebel 2,SlusnejKanalTV.cz
cz,Discovery HD Showcase,DiscoveryChannelHD.cz
cz,Prima ZOOM,PrimaZOOM.cz
cz,NOVA GOLD,NovaGold.cz
cz,Boomerang,Boomerang.cz
cz,Sport1,Sport1.cz
cz,National Geographic Channel HD,NationalGeographicHD.cz
cz,Filmbox,Filmbox.cz
cz,Barrandov Krimi,BarrandovKrimi.cz
cz,SportKlub,SportKlub.cz
cz,Spektrum,Spektrum.cz
de,RTL Passion HD,RTLPassion.de
de,Family TV,FamilyTV.de
de,Sport 1HD,Sport1HD.de
de,Nat Geo Wild Germany,NatGeoWild.de
de,Bongusto HD,BonGusto.de
de,Sky Sport 1,SkySport1.de
de,RTL Crime HD,RTLCrime.de
de,ANIXE,Anixe.de
de,MTV Brand Neu,MTVHits.de
de,Sky Nostalgie,SkyNostalgie.de
de,ATV Avrupa,ATV.de
de,ARD-alpha,ARDalpha.de
de,SAT1 HD,Sat1.de
de,DAZN 1,DAZN2.de
de,kabel eins Doku,KabelEinsDoku.de
de,Nat Geo HD Germany,NatGeo.de
de,Deutsches Wetter Fernsehen,Wetterfernsehen.de
de,DMAX HD,DMax.de
de,Silverline,Silverline.de
de,Sony Entertainment Television,SonyEntertainment.de
de,Auto Motor Sport Channel HD,AutoMotorundSportChannel.de
de,Sky Sport 3,SkySport3.de
de,AXN HD,AXN.de
de,N24,n24.de
de,Viva HD,Viva.de
de,Kika HD,Kika.de
de,HR,HR.de
de,Pro7 MAXX HD,ProSiebenMaxx.de
de,Sky Cinema+1,SkyCinemaPlus1.de
de,Super RTL HD,SuperRTL.de
de,Sky Sport 6,SkySport6.de
de,Eurosport 2 Germany,Eurosport2.de
de,Eurosport HD,Eurosport1.de
de,EUROSPORT 2 HD XTRA,Eurosport2Xtra.de
de,Sky Arts,SkyArts.de
de,Nick Junior,NickJr.de
de,RTLplus,RTLPlus.de
de,DAZN 2,DAZN1.de
de,Sky Bundesliga 7,SkyBundesliga7.de
de,N24 Doku,N24Doku.de
de,MTV HD,MTVMusic.de
de,Sky Bundesliga HD 1,SkyBundesliga.de
de,One,One.de
de,Sky 1,Sky1.de
de,Sky Sport 2,SkySport2.de
de,RBB Berlin,rbbBerlin.de
de,TNT Film HD,TNTFilm.de
de,Sky Action HD,SkyAction.de
de,Sky Bundesliga HD 3,SkyBundesliga3.de
de,ARD,ARD.de
de,Sky Bundesliga HD 4,SkyBundesliga4.de
de,n-tv,ntv.de
de,Sky Bundesliga 5,SkyBundesliga5.de
de,Nick Toons,Nicktoons.de
de,SWR BW,SWR.de
de,Boomerang Germany,Boomerang.de
de,Sky Comedy,SkyComedy.de
de,Sky Sport 4,SkySport4.de
de,Disney XD,DisneyXD.de
de,Travel Channel,TravelChannel.de
de,WDR Köln HD,WDR.de
de,Sky Sport 11,SkySport11.de
de,itvn,intv.de
de,TNT Serie HD,TNTSerie.de
de,Sky Bundesliga 6,SkyBundesliga6.de
de,13th Street HD,13thStreet.de
de,Sky Bundesliga 8,SkyBundesliga8.de
de,QVC Plus HD,QVCPlus.de
de,RTL Nitro HD,RTLNitro.de
de,Zee_TV,ZeeOne.de
de,SWR Fernsehen RP,SWR-rp.de
de,Sky Sport 7,SkySport7.de
de,MDR Sachsen - Anhalt,MDRS-Anhalt.de
de,Fix & Foxi,FixFoxi.de
de,3sat HD,3sat.de
de,Fox HD,Fox.de
de,Sixx HD,Sixx.de
de,RTL Living HD,RTLLiving.de
de,Sky Select 1,SkySelect1.de
de,Sky Cinema Hits HD,SkyCinemaHits.de
de,Sky Sports News HD,SkySportNewsHD.de
de,TNT Comedy,TNTGlitz.de
de,Discovery Channel (Sky),DiscoveryChannel.de
de,NICK / Comedy,Nickelodeon.de
de,Syfy HD,SciFi.de
de,HSE24 HD,HSE24.de
de,Planet HD,PLANET.de
de,Sky Select HD,SkySelectHD.de
de,Nick/Comedy Central,Nick.de
de,Spiegel Geschichte,SpiegelGeschichte.de
de,Kabel eins HD,Kabel.de
de,Servus TV HD,ServusHD.de
de,Sky Sport 10,SkySport10.de
de,ZDF_neo HD,ZDFneo.de
de,Sky Bundesliga 9,SkyBundesliga9.de
de,Classica,Classica.de
de,Bibel TV HD,BibelTV.de
de,Disney Cinemagic HD,DisneyCinemagic.de
de,Disney Junior,DisneyJunior.de
de,Sport 1 US,Sport1US.de
de,Sky Bundesliga 10,SkyBundesliga10.de
de,Welt der Wunder,WeltDerWunder.de
de,MDR Thüringen,MDRThuringen.de
de,Sky Sport HD 2,SkySportHD2.de
de,A&E HD,AandE.de
de,Sky Sport Austria,SkySportAustria.de
de,Pro7 Fun HD,ProSiebenFun.de
de,Sky Sport HD 1,SkySportHD1.de
de,RBB,rbbBrandenburg.de
de,History Germany,History.de
de,RiC,RiC.de
de,Comedy Central,ComedyCentral.de
de,Romance TV HD,Romance.de
de,Sky Atlantic HD,SkyAtlanticHD.de
de,Junior,Junior.de
de,Lust Pur HD,LustPur.de
de,Sky Cinema HD,SkyCinema.de
de,RTL II HD,RTL2.de
de,Vox,Vox.de
de,Gute Laune TV,GuteLauneTV.de
de,Sat 1 Gold,Sat1Gold.de
de,Sky Cinema Family,SkyCinemaFamily.de
de,Bayerisches Fernsehen Süd,BR.de
de,NDR Niedersachsen,ndr.de
de,Deutsches_Musikfernsehen,DeutschesMusikFernsehen.de
de,QVC HD,QVC.de
de,tagesschau24,tagesschau24.de
de,MDR Sachsen,MDRSachsen.de
de,Kabel Eins Classics,KabelEinsClassic.de
de,Sky Sport 5,SkySport5.de
de,Kinowelt HD,Kinowelt.de
